,sign,freq,city,format,state,geometry
353,K208EW,89.50000000000001,"Lovelock, NV",Christian Contemporary,NV,
354,K208EX,89.50000000000001,"Brandon, SD",Christian Contemporary,SD,
355,K208EY,89.50000000000001,"Wenatchee, WA",Religious,WA,
356,K208FB,89.50000000000001,"Burley, ID",Religious,ID,
357,K208FC,89.50000000000001,"Arabi, LA",Christian Contemporary,LA,
358,K208FD,89.50000000000001,"Elk City, OK",Christian Contemporary,OK,
359,K208FE,89.50000000000001,"Topeka, KS",Religious,KS,
360,K208FI,89.50000000000001,"Felt, OK",Religious,OK,
361,K208FM,89.50000000000001,"Pierre, SD",Religious,SD,
362,K208FN,89.50000000000001,"Burns, OR",Religious,OR,
363,K208FO,89.50000000000001,"Prairie Du Chien, WI",Religious,WI,
364,K208FS,89.50000000000001,"Fort Morgan, CO",Religious,CO,
365,K208FW,89.50000000000001,"Houma, LA",Christian Contemporary,LA,
366,K208FX,89.50000000000001,"Twisp, WA",Religious,WA,
367,K208FY,89.50000000000001,"Torrington, WY",Classical,WY,
368,K208GA,89.50000000000001,"Petaluma, CA",Religious,CA,
369,K208GD,89.50000000000001,"Grand Island, NE",Religious,NE,
370,K208GE,89.50000000000001,"Monterey, CA",Variety,CA,
371,K208GF,89.50000000000001,"Thermopolis, WY",Christian Contemporary,WY,
372,K208GJ,89.50000000000001,"Santa Cruz, CA",Public Radio,CA,
373,K208GK,89.50000000000001,"Hilo, HI",Religious,HI,
374,K208GM,89.50000000000001,"Falls City, NE",Public Radio,NE,
375,K208GP,89.50000000000001,"Hot Springs, AR",Religious,AR,
376,K209AG,89.70000000000002,"Sierra Vista, AZ",Classical,AZ,
377,K209AJ,89.70000000000002,"Vernal, Etc., UT",Public Radio,UT,
378,K209AK,89.70000000000002,"Palm Springs, CA",Christian Contemporary,CA,
379,K209AU,89.70000000000002,"Portola, Etc., CA",Christian Contemporary,CA,
380,K209AY,89.70000000000002,"Chester, CA",Public Radio,CA,
381,K209BC,89.70000000000002,"San Antonio, CO",Religious,CO,
382,K209BG,89.70000000000002,"Huntsville, UT",Public Radio,UT,
383,K209BO,89.70000000000002,"Tetonia, ID",Christian Contemporary,ID,
384,K209BT,89.70000000000002,"Plainview, TX",Christian Contemporary,TX,
385,K209CJ,89.70000000000002,"Tooele, UT",Christian Contemporary,UT,
386,K209CN,89.70000000000002,"Gorman, CA",Public Radio,CA,
387,K209CP,89.70000000000002,"Talent, OR",Religious,OR,
388,K209CS,89.70000000000002,"Casper, WY",Religious,WY,
389,K209CY,89.70000000000002,"Blythe, CA",Religious,CA,
390,K209DT,89.70000000000002,"El Dorado, AR",Religious,AR,
391,K209DV,89.70000000000002,"Scottsdale, AZ",Classical,AZ,
392,K209DX,89.70000000000002,"Brookings, SD",Religious,SD,
393,K209ED,89.70000000000002,"Breckenridge, CO",Jazz,CO,
394,K209EG,89.70000000000002,"Artesia, NM",Religious,NM,
395,K209EV,89.70000000000002,"Hadar, NE",Christian Contemporary,NE,
396,K209EY,89.70000000000002,"Woody Creek Area, CO",Public Radio,CO,
397,K209FA,89.70000000000002,"Glenwood Springs, CO",Christian Contemporary,CO,
398,K209FC,89.70000000000002,"Tucumcari, NM",Religious,NM,
